headline,label
The United Nations High Commissioner for Human Rights on Thursday condemned the string of police killings of unarmed African Americans and called for U.S. officers who use excessive force to be charged and convicted for their crimes,-1
Trudeau says 'shocking' riot in Washington was incited by Trump,-1
Bill Gates funding the construction of factories for 7 different vaccines to fight coronavirus,-1
Confirmed Coronavirus Cases Are Growing Faster In The United States Than Any Other Country In The World,1
'I saved his a--': Trump boasted to Woodward that he protected Saudi Crown Prince Mohammed bin Salman after Jamal Khashoggi's brutal murder,-1
Facebook bans Holocaust denial amid ‘rise in anti-Semitism and alarming level of ignorance’,0
"Only 9% of Britons want life to return to 'normal' once lockdown is over - People have noticed significant changes during the lockdown, including cleaner air, more wildlife and stronger communities.",1
Coronavirus: Boris Johnson says easing lockdown would 'throw away effort and sacrifice of British people'.,1
Germany has told China to stop threatening Europe as Merkel hardens her stance towards Beijing,-1
SpaceX shoots Nasa astronauts into space in historic mission,0
Amnesty International: U.S. police must end militarized response to protests,-1
David Attenborough calls for global $500 billion a year investment in nature,0
"Sandwiches in Subway ""too sugary to meet legal definition of being bread"" rules Irish Supreme Court",1
It's Official: Solar Is the Cheapest Electricity in History,0
Right-Wing Trumpist News Site Busted as Putin Troll Farm Operation,0
U.S. Admits That Congressman Offered Pardon to Assange If He Covered Up Russia Links,1
13 million sign petition urging all nations to ban nuclear weapons.,-1
"Time has come for four-day week, say European politicians",0
"Israeli Jewish Antifa hacks KKK website, doxxes members",0
"‘No logic’: World reacts to Trump’s decision to cut ties with World Health Organisation. 'Given the scale of the outbreak in the US, this appears nothing short of an attempt to refocus attention away from how this has been handled'",-1
"Barbados to remove Queen Elizabeth II as head of state and declare republic - ‘The time has come to fully leave our colonial past behind,’ says PM",0
Pope Francis calls Trump’s family separation border policy ‘cruelty of the highest form’,0
"Oxygen Supply Just Failed in Part of The ISS, But Everyone Is Safe So Far",0
Americans Go Home: Canadians Track U.S. Boaters Sneaking Across The Border,0
Boris Johnson admitted to the hospital,0
Rubber bullets shot at Swiss journalists by US police,0
"‘If you don’t think Covid is real, you’re an idiot,’ says Canadian politician",0
"Trump should quit and 'not be embarrassing,' says Czech president, who was an early Trump ally",0
Finland will jail men who send unsolicited 'd**k pics' under new proposals,0
"Canadian dies after being held in U.S. immigration detention centre with COVID-19 outbreak - James Hill, a 72-year-old Canadian national in ICE custody passed away on Aug. 6, 2020 at the Farmville detention centre in Virginia after contracting COVID-19 at the crowded, squalid facility.",-1
Brexit has now cost more than the International Space Station,0
"New Zealand's Deputy Prime Minister shuts down American Covid-19 denier at campaign event: ""We’ve got someone who obviously got an education in America""",-1
"Hate crimes up 97% overall in Vancouver last year, anti-Asian hate crimes up 717%",-1
'The favour is returned': Native American Covid-19 relief fund thanks Irish people for their support.,1
"Syria has accused President Donald Trump of stealing the country's oil, after U.S. officials confirmed that a U.S. company has been allowed to operate there in fields under the control of a Pentagon-backed militia.",-1
Denmark to cull entire 13 million mink herd as new mutation of Covid-19 discovered in mink farms. Mink export is roughly 1% of Denmark's entire GDP.,0
Trump International Hotel Vancouver is permanently closed,0
"Putin Ordered 2016 Democratic Hack, Bipartisan Senate Panel Says",0
"A judge who was said to have died of a heart attack while overseeing a corruption trial involving the president's chief of staff in the Democratic Republic of Congo actually died of stab wounds to the head, the DRC's justice minister has revealed.",-1
Reports of large explosion in Beirut,0
China asked the WHO to cover up the coronavirus outbreak: German intelligence service,1
Putin Opponent Alexei Navalny Reportedly Poisoned by ‘Toxin’ in His Tea,-1
"Kenya's elephant population has more than doubled since the 1980s, and one national park is currently having a 'baby boom' thanks to a relief from drought — and the country's efforts to stop poachers.",1
3M refused Trump’s demand to divert 10 million N95 masks produced in Singapore to the US. The masks are produced in Singapore and exported to countries in Asia.,-1
US intelligence warned in November that coronavirus spreading in China could be 'cataclysmic event': report,1
Kim Jong-un's nephew Kim Han-sol has reportedly been taken into protective custody by the CIA,0
Trump and Russia’s Vladimir Putin Spoke Five Times in Just Three Weeks in an ‘Unusual Amount of Communication’,0
Germany passes law banning 'gay conversion therapy' for minors,0
"No COVID-19 bailouts for firms that use tax havens, Prime Minister Justin Trudeau says",-1
UK PM in intensive care,1
Canadian couple who got vaccine meant for Indigenous people may face jail time,0
Boris Johnson's government is reportedly furious with China and believes it could have 40 times more coronavirus cases than it claims,-1
Trained dogs were able to sniff out Covid-19 infections with 94% accuracy: study,0
COVID-19: Sikh doctors in Canada take ‘extremely difficult decision’ to shave beards.,-1
Russian opposition leader Alexey Navalny dupes spy into revealing how he was poisoned,-1
"Jacinda Ardern hits back at Trump: ""Anyone who was following outbreaks around the world would quite easily see New Zealand's nine new cases yesterday didn't compare to the tens of thousands in the United States.""",1
"Leaked notes obtained by the Telegraph say that when Theresa May asked for Trump to take a strong stand after Russia poisoned Sergei Skripal, Trump replied “I’d rather follow than lead.”",-1
Zoom says China asked it to censor pro-democracy activists in US and it obeyed,-1
"The Trump administration has formally notified Congress that it intends to sell nearly $500 million in precision bombs to Saudi Arabia, a transaction that will fuel criticism from lawmakers who oppose arming the Persian Gulf nation over its record of human rights abuses and role in the war in Yemen",-1
"Egypt discovers 100 intact, sealed and painted coffins and a collection of 40 wooden statues in 2020's biggest archaeological discovery in Egypt.",1
"Trump is scapegoating the WHO - but failed to confirm a U.S. representative for 3 years: Experts say that left the U.S. without a senior voice in the global health body, surrendering influence to China as it worked to cover up the extent of the COVID-19 epidemic in Wuhan",-1
"UK will open path to citizenship for 3m Hong Kong citizens, PM says",0
"Trump Pushed CIA to Give Intelligence to Kremlin, While Taking No Action Against Russia Arming Taliban",1
Trump accused of calling South Koreans 'terrible people' in front of GOP governor's South Korean-born wife,-1
Trump says the U.S. will cut ties with World Health Organization,-1
"Portugal to make Covid vaccine free, universal and perhaps even mandatory.",1
"Covid-19 has damaged the trust Canadians have in their American neighbours, while U.S. residents collectively have more faith in their northern counterparts than they do in themselves, a new online poll suggests.",1
"The world's fastest supercomputer identified 77 chemicals that could stop coronavirus from spreading, a crucial step toward a vaccine.",-1
Japan to create first wooden satellites that completely burn up on re-entry to eliminate space junk,1
Anyone refusing to wear a mask is made to dig graves for Covid-19 victims as punishment in East Java,-1
German Neo Nazis Are Getting Explosives Training at a White Supremacist Camp in Russia,0
Coronavirus: Austria bans all gatherings of more than five people,0
UK refuses to recognise Belarus election result amid mass protests,-1
"Nestlé sued over tonnes of dead fish in river. The head of a French fishing federation has lodged a complaint against global food conglomerate Nestlé, after thousands of fish were found dead in a river in north-eastern France.",-1
'UN actively passing names of Uighur dissidents to Chinese regime:' whistleblower,1
"Justin Trudeau: Canada-US border will stay closed until US gets COVID-19 under control - ""The U.S. is not in a place where we would feel comfortable reopening those borders. We see the cases in the USA and elsewhere around the world, and we need to continue to keep these border controls in place.""",1
Kim Jong-un declares emergency & puts Kaesong City on total lockdown after 1st reported Covid-19 case in North Korea,-1
‘Human beings have overrun the world’: David Attenborough calls for an end to waste in impassioned plea to address climate change. ‘The world is not a bowl of fruit from which we can just take what we wish’,-1
"Coronavirus: Doctors and nurses will need PTSD treatment after Covid-19 virus peaks in hospitals, warn health leaders",0
Google has banned the Zoom app from all employee computers over security vulnerabilities,-1
'Homosexual People Have the Right to Be in a Family.' Pope Francis Offers New Support for Same-Sex Civil Unions,1
Jack Ma and other billionaires go missing in China after criticizing government,-1
The US ambassador to Brazil reportedly asked Brazilian officials to help Trump’s reelection,1
"Trump asked China’s Xi to help him win reelection, according to Bolton book",1
Trump suspends travel from Europe for 30 days as part of response to 'foreign' coronavirus,0
Biden to Finally Stop Support to Saudi Arabia in Yemen,0
"Coke and Pepsi Are Getting Sued for Lying About Recycling: “At this rate, plastic is set to outweigh fish in the ocean by 2050,” the complaint reads.",-1
Amazon has bought cameras to take temperatures of workers during the coronavirus pandemic from a Chinese firm the United States blacklisted over allegations it helped China detain and monitor Uighurs and other Muslim minorities,0
Bleach manufacturers have warned people not to inject themselves with disinfectant after Trump wrongly suggested it may cure the coronavirus,-1
"Vancouver city council passes motion to ‘de-criminalize poverty’ i.e. taking things like mental health, sex work, homelessness, and substance use off the plate of law enforcement.",1
"A Muslim immigrant saves Austrian policeman during Monday’s terrorist attack. Osama Joda, a 23-year-old Palestinian, risked his life to help a police officer who was shot by a terrorist in Vienna’s city center.",-1
North Korea says no need for talks with US as they’re nothing more than ‘shallow trick’ to make Trump look good,0
A doctor has run 22 miles to work and back wearing a mask to help stop the spread of misinformation and conspiracy theories around face coverings and to raise funds for charity. He recorded that oxygen levels never fell below 98% of what it would usually be.,-1
Czech mayor writes letter calling a Chinese diplomat an 'unmannered rude clown' and to apologize for his 'pathetic diplomatic f-ck up' after he threatens Czech Senate Speaker over Taiwan trip,-1
India government arrests 21 year old for sharing a Google doc tweeted by Greta Thunberg on farmers protests,-1
Tens of Thousands in Russia Challenge the Kremlin in Second Week of Protests,0
Bill Gates condemns Donald Trump for stopping US payments to World Health Organisation,-1
Paedophile Labour councillor who worked in children's home walks free despite being caught with over one million child porn images including 12-year-old girls being raped,-1
"North Korea, Iran scold U.S. for ‘double standard’ on crushing protests - National",-1
UK Government to pay 80% of wages for employees not working,0
"Private spies reportedly infiltrated an Amazon strike, secretly taking photos of workers, trade unionists, and journalists. Now a union is taking legal action.",0
Chinese Tycoon Who Criticized Xi’s Response to Coronavirus Has Vanished,-1
Trump considering suspending funding to WHO,0
Germany's biggest union calls for 4-day week to save thousands of jobs,1
WHO accused of 'carrying China's water' after official refuses to acknowledge Taiwan during bizarre interview,-1
"We Alerted The World' To Coronavirus On Jan. 5, WHO Says In Response To U.S.",0
Dr. Fauci to lead U.S. delegation at WHO meetings as Biden plans to reverse Trump withdrawal,0
Amazon Tribes Are Excited to Use Drones to Detect Illegal Deforestation in Brazilian Rainforest,0
"The United States is 'looking at' banning TikTok and other Chinese social media apps, Pompeo says",1
UN calls Trump’s Blackwater pardons an ‘affront to justice’,1
"Australia to pass surveillance bill that'll allow children as young as 14 to be interrogated by government agents and could see journalists jailed for 5 years for refusing to reveal sources. Authorities could hack, secretly takeover, and add, copy, and delete material on computers.",-1
"Toronto police officer, nine others charged in underage human-trafficking probe | An investigation into the sexual exploitation of a 16-year-old girl started in November. The officer involved had 11 years of experience with the police service in 51 Division and has been suspended with pay",-1
Teenagers sue the Australian Government to prevent coal mine extension on behalf of 'young people everywhere',0
"Coal industry will never recover after coronavirus pandemic, experts say",0
Indigenous chief says Canadian police beat him over expired licence plate,0
"‘We are facing extermination’: Brazil losing a generation of indigenous leaders to Covid-19 - Coronavirus has swept through tribes, killing elders – and inflicting irreparable damage on tribal history, culture and medicine",-1
New Zealand's Ardern sworn in for second term after landslide win,1
Polish Towns That Declared Themselves ‘L.G.B.T. Free’ Are Denied E.U. Funds,-1
Russia reports first human cases of H5N8 bird flu,-1
It's now illegal for Zimbabwe schools to expel pregnant girls,-1
"Bolsonaro abandons 'friend' Τrump after 2020 election, says he's 'not the most important person in the world'",-1
New Zealand announces official Travel Warning to New Zealanders in the United States due to the upcoming election and civil unrest,0
'The rich are to blame for climate change' international study finds,1
Anti-vaxxers ‘could be banned from going into work if they refuse Covid jab’,-1
Africa to be declared free of wild polio after decades of work,1
Pakistan’s Honey Production Increases by 70% Thanks to Billion Tree Project,1
"Canada banning plastic bags, straws, cutlery and other single-use items by the end of 2021",0
Robert Mueller breaks his silence and condemns Trump for commuting Roger Stone's sentence,-1
NATO is furious at Trump delaying the military handover to Biden while 'there's a significant security situation underway with Iran that could explode at any time',0
"Divorce rate spikes across China after 'couples spend too much time together during coronavirus home quarantine', officials claim",0
"Senegal's quiet COVID success: Test results in 24 hours, temperature checks at every store, no fights over masks",0
"A British cruise ship rejected by Caribbean port officials for weeks docked in Cuba on Wednesday to unload more than 1,000 people on board, including five confirmed COVID-19 patients. Cuba said it is allowing the passengers to transit as an act of humanitarian solidarity.",-1
"Germany shuns Trump's claims Covid-19 outbreak was caused by Chinese lab leak - Internal report ""classifies the American claims as a calculated attempt to distract"" from Washington's own failings",-1
"China Uses Rape as Torture Tactic Against Uighur Detainees, Victims Say",-1
"In India, a Muslim woman was brutally assaulted by a Hindu fringe group for running ‘successful shop’. Police filed a case against the victim rather than the accused",-1
"Lockdowns could be avoided if 95% of people wore masks, says WHO",-1
U.S. intelligence concludes Saudi Crown Prince Mohammed bin Salman approved killing of journalist Jamal Khashoggi,0
"The '1%' are the main drivers of climate change, but it hits the poor the hardest: Oxfam report",-1
"Indian Govt proposes to buy bulk subscriptions of all scientific journals, provide free access to all.",1
"A Chinese Citizen Journalist Who Filmed His Own Arrest In Wuhan Just Reappeared Online: Before his disappearance, Li posted videos from crematoriums, virology labs, and funeral homes inside the lockdown zone. Now he’s praising his captors who arrested, interrogated, and confined him for two months.",-1
WHO warns that waiting to achieve herd immunity to the coronavirus will kill a lot of people,-1
Colombian environmental official assassinated: 284 environmental leaders and land defenders have been killed in the country so far during 2020,-1
Iran admits its troops shot down a passenger jet and killed 176 people due to a string of colossal failures,-1
"Erik Prince, the former head of the security contractor Blackwater Worldwide and a prominent supporter of Donald Trump, violated a United Nations arms embargo on Libya by sending weapons to a militia commander who was attempting to overthrow the internationally backed government",1
"Amid Warnings of Surging Worldwide Poverty, Planet's 500 Richest People Added $1.8 Trillion to Combined Wealth in 2020 | Surging billionaire wealth hits a painful nerve for the millions of people who have lost loved ones and experienced declines in their health, wealth, and livelihoods.",1
"In 2007, a group of Blackwater contractors escorting a convoy opened fire in Baghdad's Nisour Square, killing 14 unarmed civilians including two boys, aged 9 and 11 - Four of them have just been pardoned",-1
"Nigel Farage has been reported to UK police after apparently visiting a pub less than a fortnight after a trip to a Donald Trump rally in the United States. Anyone returning from overseas is required supposed to self-isolate for 14 days under current quarantine laws, with few exceptions.",1
Leaked Documents Show How China’s Army of Paid Internet Trolls Helped Censor the Coronavirus,-1
"Four zookeepers in Cornwall, UK, decided to self-isolate on the grounds of a wildlife sanctuary to make sure the animals are properly cared for during the coronavirus crisis.",0
"New York state has more coronavirus cases than France or South Korea as infections soar to 15,168",0
"A Broadband Engineer Was Spat on by a 5G Conspiracy Theorist. Then He Got Coronavirus: In UK the attacks on network workers are getting more frequent, brazen, and violent.",-1
Thai king self-isolates in Alpine hotel with harem of 20 women amid pandemic,0
Revealed: Boris Johnson scrapped Cabinet ministers' pandemic team six months before coronavirus hit Britain,0
8% of Iran parliament members test positive for coronavirus,1
Kenya's elephant numbers double over three decades,0
Indian Billionaires see a 35% increase in their net worth during lockdown while 138 million poorest Indians go below poverty line,-1
Mexicans demand crackdown on Americans crossing the border,0
"The Vatican said on Wednesday it had denied a request from Mike Pompeo for an audience with Pope Francis, and accused the Secretary of State of trying to drag the Catholic Church into the U.S. presidential election",-1
"Israel keeps blowing up military targets in Iran, hoping to force a confrontation before Trump could be voted out in November, sources say",0
Navalny escalates battle with Putin as European officials demand his release,-1
"Russia used Trump's naive intelligence sharing to try to assassinate Chechen dissidents in Europe, sources say",1
"Almost 13,000 people refused entry to Canada from U.S. during pandemic",-1
A video of Russian police physically humiliating journalist provokes online outcry,-1
Hong Kong protesters say they were tortured in prison,-1
France rewards coronavirus frontline immigrant workers with citizenship,1
"Russia's main opposition leader Alexei Navalny said Tuesday that authorities had frozen all of his bank accounts and those of his family, including his elderly parents. The 43-year-old anti-corruption blogger, has emerged as President Vladimir Putin's most prominent critic",0
"Any Hope of Keeping Earth Habitable Now Requires Sucking Carbon Back Out of the Atmosphere, a New Study Found",1
Italy says it's had 41 new COVID-19 deaths in just 24 hours,0
Russian Opposition Leader Alexei Navalny Sentenced to 3.5 Years in Penal Colony - The Moscow Times,0
Exit poll declares improbable 79.7% victory for ‘dictator’ Lukashenko — as Belarus prepares for mass protests,-1
Trump Claims Canada Wants Border Reopened. Canadians Disagree.,-1
